rank,id,title,rating_count
1,445539,Pulp Fiction,302418.59469278477
2,363185,Fight Club,298497.2430259641
3,471143,Inception,189140.17536604585
4,408277,Forrest Gump,174800.38798952993
5,387452,Le Seigneur des Anneaux - La Communauté de l'anneau,150363.224754514
6,481351,Le Seigneur des Anneaux - Le Retour du roi,139649.21246982968
7,388583,Interstellar,129632.98110872369
8,388285,Inglourious Basterds,120558.80050267815
9,1367079,Le Voyage de Chihiro,124229.88448295924
10,432630,Django Unchained,111747.11914693323
11,419456,The Dark Knight - Le Chevalier noir,111227.50831777332
12,393373,Shining,111997.97422578206
13,373525,Orange mécanique,112067.23359276295
14,376627,Princesse Mononoké,112442.08995992091
15,382239,Matrix,107177.56278049487
16,408443,Le Parrain,108667.62160146484
17,371239,Avatar,98461.84609149085
18,405140,Shutter Island,100055.81228394558
19,475251,2001 : L'Odyssée de l'espace,105944.81168783423
20,459080,Seven,97018.66200132572
21,488421,Apocalypse Now,100362.1870582898
22,369619,Kill Bill - Volume 1,90493.51170873045
23,370300,Retour vers le futur,90809.6592336094
24,447958,Vol au-dessus d'un nid de coucou,92361.54891936269
25,370894,Douze Hommes en colère,92585.77017517062
26,372138,La Ligne verte,87326.48393361748
27,486492,Le Tombeau des lucioles,88420.58182316707
28,368376,"Le Bon, la Brute et le Truand",88015.97479578193
29,422876,La Liste de Schindler,85157.11088304431
30,414447,Titanic,77140.16903478205
31,471803,Le Seigneur des Anneaux - Les Deux Tours,80659.14028931114
32,494050,Blade Runner,79039.69530436443
33,493747,Le Roi Lion,75614.27173587058
34,11103037,Mommy,77943.8720452388
35,444625,Old Boy,76490.42946854347
36,433183,Eternal Sunshine of the Spotless Mind,72498.00068516939
37,804173,Il était une fois en Amérique,76604.9103961034
38,411899,Mulholland Drive,74405.07889362056
39,440893,Il était une fois dans l'Ouest,71229.87927877632
40,442615,L'Empire contre-attaque,67942.64284549102
41,430335,Reservoir Dogs,67022.2613721583
42,447001,Les Affranchis,68936.104249806
43,497324,Barry Lyndon,69549.6976039141
44,466346,Requiem for a Dream,63669.49727966961
45,467266,Taxi Driver,65607.94409615781
46,460131,Intouchables,57194.9841764485
47,454350,The Big Lebowski,62060.68364728385
48,1301677,Her,60440.06933843692
49,477776,Into the Wild,58962.913599584586
50,372017,La vie est belle,62055.8578940517
51,25357970,Parasite,63243.820800486625
52,11913569,La La Land,61278.05713696903
53,497643,The Grand Budapest Hotel,59481.14594838477
54,481802,Psychose,62270.80817488116
55,455599,Le Château ambulant,61172.95737759465
56,414626,Les Évadés,61349.249332985295
57,10777058,Whiplash,60213.752669492475
58,481959,Edward aux mains d'argent,54653.54081557019
59,415454,The Truman Show,54391.79460292918
60,380343,Le Silence des agneaux,56265.30257742388
61,378648,Le Parrain - 2e Partie,59532.778201433175
62,430683,Gladiator,53968.45321083021
63,390938,Drive,52239.85980658638
64,406497,Le Fabuleux Destin d'Amélie Poulain,51457.37316408922
65,450867,Elephant Man,57144.995275799956
66,435660,Alien - Le 8ème Passager,55105.5991623381
67,399294,American Beauty,53914.309718703065
68,390881,Usual Suspects,54581.183042258985
69,495890,Léon,51428.68451016117
70,494347,Jurassic Park,49821.37583544205
71,459226,Citizen Kane,55880.67548902401
72,365132,La Guerre des étoiles,50234.974295010004
73,395690,La Cité de la peur,50322.81137133787
74,376439,Voyage au bout de l'enfer,55362.00988604294
75,451324,Les Sept Samouraïs,55640.887702247885
76,449043,Mon voisin Totoro,51442.83311963654
77,409839,Monty Python - Sacré Graal !,52917.54518905911
78,442591,Full Metal Jacket,50868.43459564922
79,363161,Le Cercle des poètes disparus,50568.652590883416
80,472094,La Haine,50969.59064608312
81,719994,Stalker,54319.0770644452
82,480435,Mad Max - Fury Road,48684.179855133116
83,480573,Donnie Darko,49844.83933595556
84,392288,American History X,49026.33033080325
85,493364,Gran Torino,46421.540875587685
86,447682,Harry Potter à l'école des sorciers,44127.43633726257
87,473176,Memento,47616.6639641997
88,497318,Metropolis,51623.34188878521
89,495281,Le Loup de Wall Street,44313.84181338333
90,455748,Le Château dans le ciel,48111.79868649604
91,397129,Brazil,49807.33438292236
92,453901,Memories of Murder,49756.57365166982
93,493753,Big Fish,45245.11878626078
94,472876,Lost in Translation,45753.531494675015
95,411737,Astérix & Obélix - Mission Cléopâtre,42347.92201011617
96,389355,Mr. Nobody,47830.78126695259
97,478657,Le Dictateur,48026.02384864614
98,396341,Le Cinquième Élément,41489.47214361842
99,12070512,Mademoiselle,48131.24048602269
100,405444,No Country for Old Men,45096.7909817411
101,435721,Black Swan,40857.46753708439
102,1316195,V pour Vendetta,41674.381628384195
103,484187,Le Prestige,42861.195566310766
104,552081,Le Pianiste,44401.682755859394
105,403401,Million Dollar Baby,42067.71381267695
106,443200,Sueurs froides,45903.80442120325
107,11166540,The Revenant,41473.61980012134
108,27059297,Joker,43722.58297814622
109,398222,In the Mood for Love,46059.11263153042
110,393837,Eyes Wide Shut,43760.72587179526
111,381184,The Tree of Life,45090.44435043061
112,8193990,Réalité,44481.48175480474
113,10750147,Les 8 Salopards,40991.87921024442
114,9375203,Gone Girl,39843.52521579479
115,443074,L'Étrange Noël de Monsieur Jack,41392.08119354624
116,362753,Wall-E,39746.84317002415
117,409688,Le Roi et l'Oiseau,44106.52633434959
118,418144,Akira,43727.15559742982
119,411823,Melancholia,43512.78228431572
120,466657,Scarface,41208.29952427269
121,377216,La Ligne rouge,43606.96289323425
122,468052,Nausicaä de la vallée du vent,42562.7859377439
123,448558,The Thing,42607.26492023202
