rank,id,title,rating_count
1,445539,Pulp Fiction,-27.49277937897918
2,408277,Forrest Gump,-0.9662085233853475
3,363185,Fight Club,0.9765321992764058
4,388583,Interstellar,5.965949320419895
5,387452,Le Seigneur des Anneaux - La Communauté de l'anneau,10.35545412985931
6,1367079,Le Voyage de Chihiro,10.422113362818138
7,481351,Le Seigneur des Anneaux - Le Retour du roi,13.252594943078705
8,376627,Princesse Mononoké,17.596184355813307
9,471143,Inception,19.819874604311565
10,393373,Shining,22.72705264647766
11,432630,Django Unchained,23.57648547660567
12,408443,Le Parrain,23.73532874802251
13,475251,2001 : L'Odyssée de l'espace,23.925996663287805
14,373525,Orange mécanique,24.59309084462795
15,419456,The Dark Knight - Le Chevalier noir,24.891983883529605
16,382239,Matrix,29.517946079713113
17,488421,Apocalypse Now,29.57441996643189
18,459080,Seven,33.16921754756565
19,447958,Vol au-dessus d'un nid de coucou,37.01134399991719
20,405140,Shutter Island,37.01980972158822
21,486492,Le Tombeau des lucioles,37.07712625526153
22,370894,Douze Hommes en colère,37.159478271873596
23,369619,Kill Bill - Volume 1,37.79284952830716
24,494050,Blade Runner,38.01298947525552
25,370300,Retour vers le futur,38.43187816980007
26,368376,"Le Bon, la Brute et le Truand",38.932145732467134
27,372138,La Ligne verte,41.63327448211568
28,444625,Old Boy,43.43475102488337
29,422876,La Liste de Schindler,43.80786524920232
30,493747,Le Roi Lion,44.25386363687964
31,430335,Reservoir Dogs,44.33226624670338
32,11103037,Mommy,45.457440368180556
33,433183,Eternal Sunshine of the Spotless Mind,45.79422560109954
34,411899,Mulholland Drive,47.766236748997144
35,471803,Le Seigneur des Anneaux - Les Deux Tours,48.137572172859365
36,1301677,Her,49.11595720401516
37,497643,The Grand Budapest Hotel,49.22983193819199
38,804173,Il était une fois en Amérique,49.459079846440716
39,442615,L'Empire contre-attaque,49.75427256935697
40,447001,Les Affranchis,50.216313467856764
41,25357970,Parasite,50.2396520571985
42,455599,Le Château ambulant,51.001728121633015
43,467266,Taxi Driver,51.360174184600346
44,497324,Barry Lyndon,52.040044439350055
45,440893,Il était une fois dans l'Ouest,52.347169754969
46,371239,Avatar,53.166725370693754
47,10777058,Whiplash,53.4426342797832
48,11913569,La La Land,53.475470253829
49,414447,Titanic,54.13843774187778
50,435660,Alien - Le 8ème Passager,54.47117491046046
51,454350,The Big Lebowski,54.6585055414629
52,466346,Requiem for a Dream,55.02509410286043
53,481802,Psychose,55.61193605425467
54,388285,Inglourious Basterds,56.070642913309456
55,390938,Drive,56.22937068038368
56,449043,Mon voisin Totoro,57.10464221441947
57,414626,Les Évadés,57.96659328384315
58,477776,Into the Wild,59.16338495939527
59,380343,Le Silence des agneaux,59.62461459852178
60,372017,La vie est belle,59.83114924107435
61,390881,Usual Suspects,59.85043819370384
62,365132,La Guerre des étoiles,60.04214011588285
63,480435,Mad Max - Fury Road,60.22695097288296
64,430683,Gladiator,60.30679603001646
65,455748,Le Château dans le ciel,60.41301077928652
66,481959,Edward aux mains d'argent,60.778556934626245
67,442591,Full Metal Jacket,60.82919701690749
68,378648,Le Parrain - 2e Partie,60.859513024305
69,473176,Memento,61.81949870498982
70,494347,Jurassic Park,62.03413012212655
71,450867,Elephant Man,62.057245276637694
72,399294,American Beauty,62.16936587583403
73,415454,The Truman Show,62.39621911474208
74,9375203,Gone Girl,62.62276581438449
75,10750147,Les 8 Salopards,62.91449855338672
76,495281,Le Loup de Wall Street,63.01253172184254
77,376439,Voyage au bout de l'enfer,63.309877138088375
78,480573,Donnie Darko,63.88184940824252
79,459226,Citizen Kane,64.01975951079089
80,484187,Le Prestige,65.13007943990874
81,27059297,Joker,65.33206597174333
82,409839,Monty Python - Sacré Graal !,65.38304961649239
83,451324,Les Sept Samouraïs,65.54791265171852
84,11166540,The Revenant,65.65198939639777
85,397129,Brazil,65.75940345142472
86,495890,Léon,65.82345642808437
87,468052,Nausicaä de la vallée du vent,66.04002925435768
88,453901,Memories of Murder,66.21669133910478
89,398410,Kill Bill - Volume 2,66.32754443069439
90,405444,No Country for Old Men,66.46823576720405
91,493753,Big Fish,66.59071148373519
92,8463636,Birdman,66.64572547344734
93,363161,Le Cercle des poètes disparus,66.73946877313546
94,472094,La Haine,66.75709342683733
95,395690,La Cité de la peur,67.11463680050838
96,472876,Lost in Translation,67.2780976799202
97,719994,Stalker,67.30979218261167
98,497318,Metropolis,67.38020812635884
99,362753,Wall-E,67.58571866317484
100,392288,American History X,67.77683118893589
101,406497,Le Fabuleux Destin d'Amélie Poulain,68.1430287752016
102,8315193,Le vent se lève,68.23342687290676
103,448558,The Thing,68.36147013171112
104,493364,Gran Torino,68.38977690997083
105,12070512,Mademoiselle,68.44670336491376
106,443200,Sueurs froides,68.52920373385314
107,393837,Eyes Wide Shut,68.92917165253812
108,484219,Moonrise Kingdom,68.93227745858765
109,418144,Akira,69.16850968484493
110,1225765,Toy Story,69.22990461921407
111,7938578,Blade Runner 2049,69.58440865487803
112,447682,Harry Potter à l'école des sorciers,69.76658399862966
113,398222,In the Mood for Love,69.77785570864391
114,1316195,V pour Vendetta,69.79499806903573
115,466657,Scarface,69.79906872282865
116,479344,Là-haut,70.09206502009074
117,460131,Intouchables,70.12240817392166
118,389355,Mr. Nobody,70.46462853519631
119,11134569,Premier Contact,70.49253554660942
120,435721,Black Swan,70.53232460795059
121,433492,Le Retour du Jedi,70.56357863143151
122,391814,L'Armée des 12 singes,70.61758681231582
123,443074,L'Étrange Noël de Monsieur Jack,70.81362741476332
124,18431528,L'Île aux chiens,71.04717189516839
125,474891,Vice-versa,71.14953476812258
126,377216,La Ligne rouge,71.24096171732214
127,421236,Cloud Atlas,71.32233941273827
128,17103116,Dunkerque,71.35311203036821
129,482589,Les Fils de l'homme,71.4846153558118
130,404771,Jackie Brown,71.54283926060856
131,411823,Melancholia,71.5507528745706
132,552081,Le Pianiste,71.80340239767145
133,439915,12 Years a Slave,71.80344413548508
134,396341,Le Cinquième Élément,71.81786641678694
135,21063455,La Forme de l'eau,71.83457948223014
136,26144468,Once Upon a Time... in Hollywood,71.87575213396272
137,478657,Le Dictateur,72.10957180129768
138,488559,Bienvenue à Gattaca,72.11119625475716
139,466023,Heat,72.23859605310042
140,1324648,Trainspotting,72.24030805853056
141,403401,Million Dollar Baby,72.39802422761497
142,415777,Les Sentiers de la gloire,72.39956511369999
143,8193990,Réalité,72.50210054223692
144,8269229,Prisoners,72.65843822811198
145,407292,Fenêtre sur cour,72.8826836941192
146,422130,Les Infiltrés,73.07262223169171
147,493176,There Will Be Blood,73.13533115050213
148,409688,Le Roi et l'Oiseau,73.14894400944911
149,410006,Porco Rosso,73.20914091777067
150,385235,La Nuit du chasseur,73.2692738421126
